,Unnamed: 0,index,company,title,description,salary,tags,location,labels,link
0,0,0,SpeechOcean,Project Assistant (Minority Language),"1. Job responsibilities: 1) Confirm project requirements, formulate project plans, control project duration, make project budgets and avoid risks, and make progress reports 2) Coordinate and communicate internally and across departments, expand projects and accumulate resources; 3) Maintain old customers, develop new customers, and manage internal teams; 4) Formulate salary settlement, reimbursement and final accounts for project implementation and manage project data quality; 2. Qualifications: 1) English CET-6 or above; Bachelor degree or above; those with language advantages are preferred; 2) Have good professional ethics and professional conduct, be good at communication and coordination, have a good sense of teamwork, high sensitivity and certain judgment ability; 3) Have a strong sense of responsibility, work meticulously and conscientiously, be organized, careful and thoughtful, be able to calmly deal with emergencies and report and coordinate properly; 3. Working hours: 8-hour work system, two days off, flexible work system [Company benefits]: seven insurances and one housing fund + quarterly bonus + year-end bonus + free physical examination + holiday benefits + paid annual leave + employee travel + meal allowance",8-10K·16薪,"['北京', '经验不限', '本科']","Room 801, Block D, Yousheng Building, Haidian District, Beijing (Wudaokou Shopping Center)","['English', 'Portuguese', 'Italian', 'German', 'African-Asian', 'Ukrainian', 'Swedish', 'Czech']",https://www.zhipin.com/job_detail/8ac7434c4afd2b4803R62dW0FVM~.html
1,3,3,SpeechOcean,Twins palm collection,"Working hours: unlimited Working hours: unlimited Settlement method: daily Recruitment deadline: 2023-11-30#Twins' palm collection# [Job responsibilities] Collection according to requirements, mainly taking photos [Job requirements] 1. Identical twins are required 2. Just come to the company in Beijing. If there are many twins from other places, we can travel to collect (specific details are negotiable) [Salary level] 350-450/person; [Project cycle] It only takes about 2 hours, the specific time is negotiable [Company address]: Block D, Yousheng Building, 28 Chengfu Road, Haidian District, Beijing",100-150元/时,"['北京', '经验不限', '学历不限']","Building D, Yousheng Building, Haidian District, Beijing (Wudaokou Shopping Center)",['twin'],https://www.zhipin.com/job_detail/dffcfd448427d9fb1Xx-29q9E1tY.html
2,6,6,SpeechOcean,Project Manager - English (or other languages),"Job responsibilities: 1. Confirm project requirements, formulate project plans, and prepare project budgets; 2. Promote project execution and monitoring, do a good job of communication and coordination within the department, across departments, and with customers during the project process, and solve problems in a timely manner; 3. Control project costs, pay attention to project quality and duration, and ensure that the project is completed on time and with quality; 4. Maintain good customer relationships, follow up on project feedback, and complete project acceptance; 5. Complete the company's internal closing process and conduct project summary work. Qualifications: 1. Bachelor degree or above, foreign language or computer-related majors, more than 3 years of project management experience, voice and data industry is preferred; 2. English level 6 or above, fluent in oral English, barrier-free communication, and other foreign language skills are a plus (especially Japanese); 3. Strong communication and coordination skills, strong sense of responsibility, and good teamwork spirit; 4. Clear logic, good learning ability, independent thinking ability, and problem-solving ability; 5. Strong stress resistance, plan to develop in Beijing for a long time.",16-30K·16薪,"['北京', '3-5年', '本科']","Haitian Ruisheng, 4th Floor, Linghang Technology Building, Haidian District, Beijing","['Computer-related major', 'Big data project management experience', 'Pre-sales support experience', 'PMP', 'PMI-ACP', 'ASR', 'English', 'Voice']",https://www.zhipin.com/job_detail/42a93900ea4dfee71HF52tu8F1VX.html
3,9,9,SpeechOcean,Part-time in minor languages,"【Job Description】1.Responsible for the labeling of some foreign language projects2.Assist in refining project rules and answer questions about local linguistics3.Assist the person in charge to organize project data【Job requirements】1.Native speakers of global languages ​​are preferred2 .Have a relevant linguistic background, or some experience with labeling3.You can work online, and there are no working hours【Salary】Pay-as-you-goIt can be talked about according to the content and difficulty of the work【Company address 】U-Center Building, No. 28 Chengfu Road, Haidian District, Beijing",15-20K,"['北京', '经验不限', '本科']","Room 801, Block D, Yousheng Building, Haidian District, Beijing",['Minority languages'],https://www.zhipin.com/job_detail/c76ac9fdf1ec5a0e1Xx509y5E1ZY.html
4,12,12,SpeechOcean,Part-time in minor languages,"【Job Description】1.Responsible for the labeling of some foreign language projects2.Assist in refining project rules and answer questions about local linguistics3.Assist the person in charge to organize project data【Job requirements】1.Native speakers of global languages ​​are preferred2 .Have a relevant linguistic background, or some experience with labeling3.You can work online, and there are no working hours【Salary】Pay-as-you-goIt can be talked about according to the content and difficulty of the work",15-18K,"['深圳', '经验不限', '本科']",Shenzhen Pingshan Innovation Plaza 20,['native'],https://www.zhipin.com/job_detail/5de22f8762d9c69d1HRz0t2_FVNQ.html
5,15,15,SpeechOcean,Online novel writer,"Working hours: unlimited Working period: unlimited Settlement method: settlement upon completion Recruitment deadline: 2023-12-25 This position is part-time and requires fans of the following three novels: ""The End of Ten Days"", ""You Make a Sword, I Go Crazy, Practice to Save the Entertainment Circle"", and ""Starting to Live Forever, Living Until the End of Time"". At the same time, you must have a certain literary foundation and love to write and read online articles. You can create a second version of a given online novel, such as simulating the protagonist's tone and character to construct a dialogue. You can work online, with no specific office hours required, as long as you can complete the task on time. Price private chat",120-150元/时,"['北京', '经验不限', '学历不限']","Building D, Yousheng Building, Haidian District, Beijing","['Part-time job', 'Piece-rate', 'Online novel', 'Suspense and mystery']",https://www.zhipin.com/job_detail/308b46a0261e37a71HV93d64FlpQ.html
6,18,18,SpeechOcean,Portuguese Project Assistant,"1. Job responsibilities: 1) Confirm project requirements and formulate project plans; 2) Control project duration, make project budgets and avoid risks, and make progress reports; 3) Coordinate and communicate internally and across departments, expand projects and accumulate resources; 4) Formulate salary settlement, reimbursement and final accounts for project implementation and manage project data quality; 2. Qualifications: 1) English CET-6 or above; Bachelor degree or above; those with language advantages are preferred; 2) Have good professional ethics and professional conduct, be good at communication and coordination, have a good sense of teamwork, high sensitivity and certain judgment ability; 3) Have a strong sense of responsibility, work meticulously and conscientiously, be organized, careful and thoughtful, be able to calmly deal with emergencies and report and coordinate properly; [Company benefits]: seven insurances and one fund + quarterly bonus + year-end bonus + free physical examination + holiday benefits + paid annual leave + employee travel + meal allowance",8-10K·16薪,"['北京', '经验不限', '本科']","Room 801, Block D, Yousheng Building, Haidian District, Beijing (Wudaokou Shopping Center)","['Portuguese', 'Brazilian']",https://www.zhipin.com/job_detail/9a2728e2bfb5858c1nJ40tq5EFBR.html
7,20,0,Magic Data,ChatGPT Trainer Intern,"Job responsibilities: 1. Human-machine dialogue, that is, humans constantly ask questions to the machine, and the machine gives answers based on the questions; 2. Do a good job of answering questions and sorting out problems according to project specifications; 3. Complete other tasks assigned by the leader. Job requirements: 1. Junior or senior year or second or third year graduate student, liberal arts majors are preferred; 2. Careful and attentive, sensitive to text, have a certain degree of stress resistance and self-motivation, and have a spirit of teamwork; 3. Able to work more than 4 days a week, at least three months, long-term internships are preferred.",150-180元/天,"['北京', '4天/周 3个月', '本科']","Room 501, 5th Floor, Building G, Haidian Cultural and Educational Industrial Park, Haidian District, Beijing","['Part-time job', 'Data annotation', 'Text annotation', 'Annotation result sorting', 'Annotation result spot check', 'chatGPT']",https://www.zhipin.com/job_detail/89c25ea485bf9e9a1XNz29y_EVdU.html
8,22,2,Magic Data,Project Assistant,"Job requirements: 1. Bachelor degree or above in linguistics-related majors, such as linguistics and applied linguistics/Chinese linguistics/dialectology, etc.; 2. Familiar with the basic knowledge of phonetics, strong listening and sound recognition skills, and can flexibly use IPA to annotate pronunciation; 3. English proficiency is above CET-6, TOEFL scores are preferred, and listening, speaking, reading and writing skills are balanced; 4. Have a certain understanding of dialects, relevant research experience (have done topics, projects or written papers), or dialect collection experience is preferred; 5. Interested in artificial intelligence, computer-related fields, and willing to learn. Job content: 1. Confirm product requirements, do a good job of communication and coordination during the product production process, and solve problems that arise in the process in a timely manner; 2. Be responsible for product acceptance and ensure the quality of the final delivery of the product; 3. Complete product production according to product requirements; 4. Other Chinese and English document writing, data analysis, research and other work related to the product; 5. Other things assigned by the leader. Bonus points for experience in the following industries: Big data",7-9K,"['北京', '经验不限', '本科']","4th Floor, Building G, Haidian Cultural and Educational Industrial Park, Haidian District, Beijing","['Linguistics', 'English', 'Project Assistant']",https://www.zhipin.com/job_detail/e8af47cf9f3ba6401nN529W7FVVZ.html
9,25,5,Magic Data,Project Manager ASR,"1. Organize and coordinate all aspects of voice collection and annotation projects. 2. Responsible for docking projects with customers, understanding project requirements, sorting out specifications, and training management. 3. Follow up on project progress and answer questions from annotators. 4. Quality inspection and acceptance of annotators' output data to meet the quality and duration requirements of the project 5. Monthly statistics of workload and completion of project settlement. 6. Project management, docking with customers, control of quality, duration and cost. Job requirements: 1. Bachelor degree or above, English communication is preferred. 2. Excellent text reading comprehension ability and sensitive thinking. 3. Good stress resistance, optimistic, positive, strong self-motivation and career development plan, good at communicating with people. 4. Proficient in using office software such as excel and word, and have a fast learning ability for new tools. 5. Good professional ethics and professional conduct, good at communication and coordination, and good sense of teamwork. We have a technical team with strong coding ability, an experienced sales team, and a professional and reliable project team. We provide seven insurances and one housing fund, additional commercial supplementary medical insurance, and accidental injury insurance. We also provide snacks and drinks every day, interesting team-building activities, flexible working hours, comfortable office environment, and holiday benefits. If you are interested in artificial intelligence and high technology, if you pursue excellence, simplicity and reliability, if you are full of entrepreneurial mentality, smart and tough, please join us!",12-18K,"['北京', '3-5年', '本科']","5th Floor, Building G, Cultural and Educational Industrial Park, No. 44, North Third Ring Road, Haidian District, Beijing",['Non-technical project management'],https://www.zhipin.com/job_detail/ac8d31027afb7c681HV_3NS7EFtU.html
