,Unnamed: 0,company,title,description,salary,tags,location,labels,link,index
0,0,SpeechOcean,双胞胎手掌采集,"工作时间：不限
工作时段：不限
结算方式：日结
招聘截止时间：2023-11-30
#双胞胎手掌采集#
【岗位职责】 
根据要求进行采集，主要是拍照
【岗位要求】
1.需同卵双胞胎
2.在北京直接来公司就可以，外地的双胞胎较多我们可出差采集（具体可议）
【薪资水平】350-450/人；
【项目周期】只需要2小时左右，具体时间可议
【公司地址】：北京市海淀区成府路28号优盛大厦D座",100-150元/时,"['北京', '经验不限', '学历不限']",北京海淀区优盛大厦D座(五道口购物中心)D座,['双胞胎'],https://www.zhipin.com/job_detail/dffcfd448427d9fb1Xx-29q9E1tY.html,
1,3,SpeechOcean,Part-time in minor languages,"【Job Description】
1.Responsible for the labeling of some foreign language projects
2.Assist in refining project rules and answer questions about local linguistics
3.Assist the person in charge to organize project data
【Job requirements】
1.Native speakers of global languages are preferred
2.Have a relevant linguistic background, or some experience with labeling
3.You can work online, and there are no working hours
【Salary】Pay-as-you-go
It can be talked about according to the content and difficulty of the work
【Company address】
U-Center Building, No. 28 Chengfu Road, Haidian District, Beijing",15-20K,"['北京', '经验不限', '本科']",北京海淀区优盛大厦D座801,['小语种'],https://www.zhipin.com/job_detail/c76ac9fdf1ec5a0e1Xx509y5E1ZY.html,
2,6,SpeechOcean,网络小说写手,"工作时间：不限
工作时段：不限
结算方式：完工结
招聘截止时间：2023-12-25
此岗位是兼职，需要是以下3部小说的书粉《十日终焉》《你犯剑 我发癫 练手拯救娱乐圈》《开局长生万古，苟到天荒地老》
同时有一定的文学功底，平时爱写网文爱看网文
对给定的网络小说进行二次创作，比如模拟主角口吻人设进行对话构造
线上办公，具体办公时间无要求，能按时完成任务即可
价格私聊",120-150元/时,"['北京', '经验不限', '学历不限']",北京海淀区优盛大厦D座,"['兼职', '按件计费', '网络小说', '悬疑推理']",https://www.zhipin.com/job_detail/308b46a0261e37a71HV93d64FlpQ.html,
3,9,SpeechOcean,葡语项目助理,"1.岗位职责：

1）确认项目需求、制定项目计划；

2）把控项目工期、做好项目预算并规避风险、做好进度报告；

3）做好内部和跨部门之间的协调和沟通、做好项目扩展和资源累计；

4）制定项目实施的工资结算、报销和决算并做好项目数据质量管理；

2.任职条件：

1）英语CET-6以上；本科及以上学历；有语言优势的优先；

2）有良好的职业道德和职业操守，擅于沟通与协调，良好的团队合作意识，较高的敏感度及一定的判断能力；

3）责任心强，工作细致认真，办事有条理，细心周到，能够从容应对突发事件并妥善上报与协调；

【公司福利】：

七险一金+季度奖+年终奖+免费体检+节假日福利+带薪年假+员工旅游+餐补",8-10K·16薪,"['北京', '经验不限', '本科']",北京海淀区优盛大厦D座(五道口购物中心)801,"['葡萄牙语', '巴葡']",https://www.zhipin.com/job_detail/9a2728e2bfb5858c1nJ40tq5EFBR.html,
4,12,SpeechOcean,远程加利西亚语,"【工作内容】
10万词条加利西亚语发音词典校对：给出词条及X-Sampa发音，检查并更正给定词条的拼写和音标错误 
【工作要求】
1、加利西亚语专业或本族语者；具备语言学基础，优质高效，时间充裕；
2、自备个人电脑，学习理解能力优先。
【工作时间】
工期2个月，每天至少3-4小时；
【薪资待遇】
250元/1000词；",200-300元/天,"['北京', '3天/周 2个月', '学历不限']",北京海淀区优盛大厦D座(五道口购物中心)D801,"['CATTI一级翻译', 'CATTI二级翻译', 'CATTI三级翻译', 'SIA', 'CATTI', '兼职']",https://www.zhipin.com/job_detail/df056f03e254d9791nx72dy_EVpR.html,
5,14,SpeechOcean,项目助理（小语种）,"1.岗位职责：

1）确认项目需求、制定项目计划、把控项目工期、做好项目预算并规避风险、做好进度报告

2）做好内部和跨部门之间的协调和沟通、做好项目扩展和资源累计；

3） 维护老客户，开发新客户，内部团队管理；

4）制定项目实施的工资结算、报销和决算并做好项目数据质量管理；

2.任职条件：

1）英语CET-6以上；本科及以上学历；有语言优势的优先；

2）有良好的职业道德和职业操守，擅于沟通与协调，良好的团队合作意识，较高的敏感度及一定的判断能力；

3）责任心强，工作细致认真，办事有条理，细心周到，能够从容应对突发事件并妥善上报与协调；

3.工作时间：8小时工作制，双休，弹性工作制

【公司福利】：

七险一金+季度奖+年终奖+免费体检+节假日福利+带薪年假+员工旅游+餐补",8-10K·16薪,"['北京', '经验不限', '本科']",北京海淀区优盛大厦D座(五道口购物中心)801,"['英语', '葡萄牙语', '意大利语', '德语', '亚非', '乌克兰语', '瑞典语', '捷克语']",https://www.zhipin.com/job_detail/8ac7434c4afd2b4803R62dW0FVM~.html,
6,17,SpeechOcean,项目经理-英语（或其他语种）,"岗位职责：
1、确认项目需求，制定项目计划，拟定项目预算；
2、推动项目执行与监控，做好项目过程中的部门内、跨部门、以及客户沟通协调工作，及时解决问题；
3、控制项目成本，关注项目质量及工期，确保项目按期、保质完成；
4、维系良好的客户关系，跟进项目反馈，完成项目验收；
5、完成公司内部结项流程，进行项目总结工作。
任职资格：
1、本科及以上学历，外语类或计算机相关专业，3年以上项目管理经验，语音数据行业优先；
2、英语六级以上，口语流利，可无障碍沟通，有其他外语能力加分（尤其日语）；
3、沟通协调能力强，责任心强，具有良好的团队合作精神；
4、逻辑清晰，具有良好的学习能力、独立思考能力，以及解决问题能力；
5、抗压能力强，计划在北京长期发展。",16-30K·16薪,"['北京', '3-5年', '本科']",北京海淀区领航科技大厦4层海天瑞声,"['计算机相关专业', '大数据项目管理经验', '售前支持经验', 'PMP', 'PMI-ACP', 'ASR', '英语', '语音']",https://www.zhipin.com/job_detail/42a93900ea4dfee71HF52tu8F1VX.html,
7,0,Magic Data,ChatGPT训练师实习生,"工作职责：
1, 人机对话，即人类不断地向机器进行提问，而机器根据问题给出答复；
2, 做好针对项目规范的答疑与问题梳理；
3, 完成领导分配的其他任务。

工作要求: 
1, 在校大三、大四或研二、研三，文科专业优先 ； 
2, 认真细心，对文字有敏感度，有一定的抗压能力和自驱力，有团队合作精神； 
3, 一周能工作4天以上，至少三个月以上，长期实习优先。",150-180元/天,"['北京', '4天/周 3个月', '本科']",北京海淀区海淀文教产业园G座5层501,"['兼职工作', '数据标注', '文本标注', '标注结果整理', '标注结果抽查', 'chatGPT']",https://www.zhipin.com/job_detail/89c25ea485bf9e9a1XNz29y_EVdU.html,
8,2,Magic Data,项目经理ASR,"1、语音采集和标注项目的各方面组织协调。
2、负责和客户对接项目，理解项目需求，梳理规范，培训管理。
3、跟进项目进度，解答标注员疑问。
4、质检验收标注员的产出数据，达到项目要求的质量及工期
5、月度统计工作量，完成项目结算。
6、项目管理、对接客户、把控质量工期及成本。
任职要求：
1、本科及以上学历，能英语沟通优先。
2、文字阅读理解能力优，思维敏感。
3、良好的抗压能力，乐观、积极、有较强的自我驱动力和职业发展计划，擅长与人沟通。
4、熟练使用excel,word等办公软件，对于新的工具有较快的学习能力。
5、良好的职业道德和职业操守，善于沟通与协调，良好的团队合作意识。
我们有码力超强的技术团队，经验丰富的销售团队，专业可靠的项目团队；我们提供七险一金、有额外的商业补充医疗保险、意外伤害险；每天提供零食饮料、有趣的团建活动、弹性工作制、舒适的办公环境、节假日福利。
如果你对人工智能、高科技充满兴趣，如果你追求卓越、简单可靠，如果你充满创业心态、聪明皮实，请加入我们吧！",12-18K,"['北京', '3-5年', '本科']",北京海淀区北三环中路44号院文教产业园G座5层,['非技术项目管理'],https://www.zhipin.com/job_detail/ac8d31027afb7c681HV_3NS7EFtU.html,
9,5,Magic Data,项目助理,"任职要求：
1.语言学相关专业本科以上，如语言学及应用语言学/汉语言文字学/方言学等；
2.熟悉语音学的基本知识，听音辨音能力强，可以灵活运用IPA标注语音；
3.英语能力达到六级以上水平，有托雅成绩优先，听说读写能力均衡发展；
4.对方言有一定的理解，有相关的研究经历（做过课题、项目或者写过论文），或者方言采集经历的优先考虑；
5.对人工智能、计算机相关领域感兴趣，并愿意学习。

工作内容：
1.确认产品需求，做好产品生产过程中的沟通协调工作，及时解决过程中出现的问题；
2.负责产品验收，保证产品最终交付质量；
3.按产品需求完成产品制作；
4.其他和产品相关的中英文档撰写、数据分析、调研等工作；
5.领导交办其它事情。

加分项
有以下行业经验：大数据",7-9K,"['北京', '经验不限', '本科']",北京海淀区海淀文教产业园G座4层,"['语言学', '英语', '项目助理']",https://www.zhipin.com/job_detail/e8af47cf9f3ba6401nN529W7FVVZ.html,
